ts,cpu_percent,rss_mb,power_w,energy_j_total
1756643635.079113,323.00,464.76,0.000,0.000000
1756643636.0791137,353.00,464.76,0.000,0.000000
1756643637.079112,353.00,464.76,0.000,0.000000
1756643638.079116,351.00,464.76,0.000,0.000000
1756643639.0791152,352.00,464.76,0.000,0.000000
1756643640.079116,350.00,464.76,0.000,0.000000
1756643641.0791125,352.00,464.76,0.000,0.000000
1756643642.0791135,354.00,464.76,0.000,0.000000
1756643643.0791116,350.00,464.76,0.000,0.000000
1756643644.0791109,352.00,464.76,0.000,0.000000
1756643645.079111,355.00,464.76,0.000,0.000000
1756643646.0791125,352.00,464.76,0.000,0.000000
1756643647.0791113,351.00,464.76,0.000,0.000000
1756643648.079392,26.00,464.76,0.000,0.000000
1756643649.0793467,0.00,464.76,0.000,0.000000
1756643650.0793629,0.00,464.76,0.000,0.000000
1756643651.0791826,0.00,464.76,0.000,0.000000
1756643652.0793886,0.00,464.76,0.000,0.000000
