ts,cpu_percent,rss_mb,power_w,energy_j_total
1756652278.8089416,0.00,465.72,0.000,0.000000
1756652279.8089392,0.00,465.72,19.488,19.487610
1756652280.8089337,0.00,465.72,19.772,39.259552
1756652281.808672,0.00,465.72,20.140,59.394558
1756652282.8086724,0.00,465.72,21.794,81.188948
1756652283.808671,0.00,465.72,23.184,104.372639
1756652284.808672,0.00,465.72,25.941,130.313726
1756652285.8086712,0.00,465.72,24.179,154.492362
1756652286.8086734,0.00,465.72,23.507,177.999355
1756652287.8086708,0.00,465.72,22.403,200.402402
1756652288.8089762,0.00,465.72,21.535,221.944104
1756652289.8086965,0.00,465.72,20.798,242.736196
1756652290.8086712,0.00,465.72,22.005,264.741085
1756652291.8086703,1.00,465.72,23.670,288.410882
1756652292.8086724,0.00,465.72,23.131,311.541995
1756652293.808674,0.00,465.72,21.325,332.866850
1756652294.8089285,0.00,465.72,19.231,352.103084
1756652295.8087816,0.00,465.72,19.035,371.135257
1756652296.808917,0.00,465.72,18.808,389.946280
1756652297.8087897,0.00,465.72,18.834,408.778314
1756652298.8087783,0.00,465.72,17.815,426.593113
1756652299.8089352,0.00,465.72,18.097,444.693312
1756652300.8089466,0.00,465.72,18.327,463.020276
1756652301.80891,0.00,465.72,18.206,481.225648
1756652302.8087757,0.00,465.72,18.912,500.135330
1756652303.8086722,0.00,465.72,23.447,523.579659
1756652304.8086715,0.00,465.72,24.314,547.893465
1756652305.8089108,1.00,465.72,24.178,572.077059
1756652306.8086858,0.00,465.72,21.696,593.767725
1756652307.80867,0.00,465.72,19.455,613.222087
1756652308.8086698,0.00,465.72,21.920,635.141639
1756652309.8088973,0.00,465.72,20.207,655.352843
1756652310.808903,0.00,465.72,19.174,674.527389
1756652311.808917,0.00,465.72,18.064,692.591747
1756652312.80867,0.00,465.72,18.685,711.271704
1756652313.808914,0.00,465.72,17.971,729.247108
1756652314.808912,1.00,465.72,18.064,747.311527
1756652315.8089187,0.00,465.72,18.082,765.393600
1756652316.8089147,0.00,465.72,17.468,782.861874
1756652317.8089502,0.00,465.72,17.855,800.717411
1756652318.8089259,0.00,465.72,19.157,819.873937
1756652319.80891,0.00,465.72,19.161,839.034918
1756652320.8086388,0.00,465.72,17.960,856.990456
1756652321.8089108,0.00,465.72,17.700,874.695351
1756652322.8086715,0.00,465.72,20.305,894.995586
1756652323.808882,0.00,465.72,19.002,914.001683
1756652324.8089373,0.00,465.72,18.602,932.604954
1756652325.8087847,0.00,465.72,18.526,951.128548
1756652326.8086848,0.00,465.72,18.938,970.065145
1756652327.808775,0.00,465.72,18.338,988.404971
1756652328.8087711,0.00,465.72,17.787,1006.192213
1756652329.808671,0.00,465.72,19.190,1025.379865
1756652330.8089132,0.00,465.72,17.641,1043.025467
1756652331.8089743,0.00,465.72,17.813,1060.839152
1756652332.8086836,0.00,465.72,21.876,1082.708474
1756652333.8089123,0.00,465.72,20.644,1103.356774
1756652334.8088453,1.00,465.72,19.521,1122.876105
1756652335.808924,0.00,465.72,18.333,1141.211003
1756652336.8089297,0.00,465.72,18.498,1159.709283
1756652337.80877,0.00,465.72,18.963,1178.669622
1756652338.808684,0.00,465.72,18.447,1197.115338
1756652339.808912,0.00,465.72,19.206,1216.325831
1756652340.8086705,0.00,465.72,19.183,1235.504344
1756652341.808914,0.00,465.72,18.752,1254.261263
1756652342.8087785,0.00,465.72,17.549,1271.807414
1756652343.8086846,0.00,465.72,18.360,1290.165198
1756652344.8086848,0.00,465.72,18.001,1308.166480
1756652345.808775,0.00,465.72,18.407,1326.575196
1756652346.8087754,0.00,465.72,17.586,1344.161612
1756652347.8088975,0.00,465.72,17.713,1361.876562
1756652348.8089097,0.00,465.72,17.846,1379.722304
1756652349.8087826,0.00,465.72,18.495,1398.214908
1756652350.8086734,1.00,465.72,18.444,1416.656521
1756652351.8087275,0.00,465.72,18.639,1435.296121
1756652352.8086991,0.00,465.72,17.986,1453.281717
1756652353.8086877,0.00,465.72,19.096,1472.377257
1756652354.808684,0.00,465.72,17.995,1490.372633
1756652355.8087773,0.00,465.72,18.326,1508.699948
1756652356.8087752,0.00,465.72,18.830,1527.530197
1756652357.8089259,0.00,465.72,18.801,1546.333774
1756652358.8086925,1.00,465.72,17.433,1563.762850
1756652359.808902,0.00,465.72,18.158,1581.924661
1756652360.8088968,0.00,465.72,17.579,1599.503785
1756652361.8088899,0.00,465.72,17.986,1617.489961
1756652362.8088872,0.00,465.72,18.072,1635.562284
1756652363.8088977,0.00,465.72,18.395,1653.957878
1756652364.8086944,0.00,465.72,19.270,1673.224124
1756652365.8089154,0.00,465.72,18.503,1691.731071
1756652366.808911,0.00,465.72,18.433,1710.164368
1756652367.808682,0.00,465.72,18.176,1728.336417
1756652368.808677,0.00,465.72,17.437,1745.773656
1756652369.8089275,0.00,465.72,18.392,1764.170257
1756652370.8088925,0.00,465.72,17.457,1781.626416
1756652371.8088996,0.00,465.72,18.113,1799.739203
1756652372.808891,0.00,465.72,17.983,1817.722251
1756652373.808995,0.00,465.72,18.817,1836.541636
1756652374.808927,0.00,465.72,17.324,1853.864212
1756652375.8089087,0.00,465.72,18.908,1872.772062
1756652376.808904,0.00,465.72,16.990,1889.761708
1756652377.8089032,0.00,465.72,17.862,1907.623333
1756652378.8089204,0.00,465.72,19.133,1926.756301
1756652379.8089175,0.00,465.72,17.935,1944.690890
1756652380.80879,1.00,465.72,17.871,1962.559213
1756652381.8088963,0.00,465.72,19.352,1981.913650
1756652382.8086708,0.00,465.72,19.870,2001.779459
1756652383.8089557,0.00,465.72,19.034,2020.819353
1756652384.8089106,0.00,465.72,18.021,2038.839509
1756652385.8089159,0.00,465.72,18.077,2056.916943
1756652386.808921,0.00,465.72,19.787,2076.703823
1756652387.8089073,0.00,465.72,17.882,2094.585848
